 zone      r         tau     1-M_r/Ms      L_r         T          P         rho        kap        eps    dlnPdlnT
  151  4.592E+11  2.850E+01  8.733E-06  3.455E+31  8.246E+03  4.971E-01  4.502E-09  3.441E-01  2.869E-81  r  4.6
  152  4.587E+11  2.935E+01  9.016E-06  3.455E+31  8.311E+03  5.151E-01  4.629E-09  3.426E-01  4.531E-81  r  4.6
  153  4.582E+11  3.021E+01  9.305E-06  3.455E+31  8.375E+03  5.338E-01  4.760E-09  3.411E-01  7.132E-81  r  4.6
  154  4.576E+11  3.110E+01  9.602E-06  3.455E+31  8.440E+03  5.530E-01  4.893E-09  3.396E-01  1.119E-80  r  4.6
  155  4.571E+11  3.201E+01  9.907E-06  3.455E+31  8.505E+03  5.727E-01  5.029E-09  3.381E-01  1.748E-80  r  4.6
  156  4.565E+11  3.294E+01  1.022E-05  3.455E+31  8.570E+03  5.931E-01  5.168E-09  3.366E-01  2.724E-80  r  4.6
  157  4.560E+11  3.389E+01  1.054E-05  3.455E+31  8.636E+03  6.141E-01  5.311E-09  3.351E-01  4.228E-80  r  4.6
  158  4.555E+11  3.486E+01  1.087E-05  3.455E+31  8.701E+03  6.357E-01  5.456E-09  3.337E-01  6.542E-80  r  4.6
  159  4.549E+11  3.586E+01  1.120E-05  3.455E+31  8.767E+03  6.580E-01  5.605E-09  3.323E-01  1.009E-79  r  4.6
  160  4.544E+11  3.687E+01  1.155E-05  3.455E+31  8.833E+03  6.809E-01  5.757E-09  3.308E-01  1.551E-79  r  4.6
  161  4.538E+11  3.791E+01  1.190E-05  3.455E+31  8.899E+03  7.045E-01  5.912E-09  3.294E-01  2.377E-79  r  4.6
  162  4.533E+11  3.898E+01  1.226E-05  3.455E+31  8.965E+03  7.288E-01  6.071E-09  3.280E-01  3.631E-79  r  4.6
  163  4.528E+11  4.007E+01  1.263E-05  3.455E+31  9.031E+03  7.538E-01  6.233E-09  3.267E-01  5.530E-79  r  4.6
  164  4.522E+11  4.118E+01  1.301E-05  3.455E+31  9.098E+03  7.795E-01  6.399E-09  3.253E-01  8.396E-79  r  4.6
  165  4.517E+11  4.232E+01  1.340E-05  3.455E+31  9.164E+03  8.059E-01  6.568E-09  3.239E-01  1.271E-78  r  4.6
  166  4.511E+11  4.348E+01  1.380E-05  3.455E+31  9.231E+03  8.332E-01  6.741E-09  3.226E-01  1.918E-78  r  4.6
  167  4.506E+11  4.467E+01  1.421E-05  3.455E+31  9.298E+03  8.612E-01  6.917E-09  3.213E-01  2.887E-78  r  4.6
  168  4.501E+11  4.588E+01  1.463E-05  3.455E+31  9.365E+03  8.900E-01  7.097E-09  3.200E-01  4.332E-78  r  4.6
  169  4.495E+11  4.712E+01  1.505E-05  3.455E+31  9.433E+03  9.196E-01  7.281E-09  3.187E-01  6.482E-78  r  4.6
  170  4.490E+11  4.839E+01  1.549E-05  3.455E+31  9.500E+03  9.501E-01  7.469E-09  3.174E-01  9.672E-78  r  4.6
  171  4.484E+11  4.968E+01  1.594E-05  3.455E+31  9.568E+03  9.814E-01  7.661E-09  3.161E-01  1.439E-77  r  4.6
  172  4.479E+11  5.100E+01  1.639E-05  3.455E+31  9.635E+03  1.014E+00  7.857E-09  3.148E-01  2.136E-77  r  4.6
  173  4.474E+11  5.235E+01  1.686E-05  3.455E+31  9.703E+03  1.047E+00  8.057E-09  3.136E-01  3.161E-77  r  4.6
  174  4.468E+11  5.373E+01  1.734E-05  3.455E+31  9.771E+03  1.081E+00  8.261E-09  3.123E-01  4.666E-77  r  4.6
  175  4.463E+11  5.514E+01  1.783E-05  3.455E+31  9.840E+03  1.116E+00  8.469E-09  3.111E-01  6.869E-77  r  4.6
  176  4.457E+11  5.658E+01  1.833E-05  3.455E+31  9.908E+03  1.152E+00  8.681E-09  3.098E-01  1.009E-76  r  4.6
  177  4.452E+11  5.805E+01  1.884E-05  3.455E+31  9.977E+03  1.189E+00  8.898E-09  3.086E-01  1.478E-76  r  4.6
  178  4.446E+11  5.955E+01  1.937E-05  3.455E+31  1.005E+04  1.227E+00  9.119E-09  3.074E-01  2.159E-76  r  4.6
  179  4.441E+11  6.108E+01  1.990E-05  3.455E+31  1.011E+04  1.266E+00  9.345E-09  3.062E-01  3.146E-76  r  4.6
  180  4.436E+11  6.264E+01  2.045E-05  3.455E+31  1.018E+04  1.306E+00  9.575E-09  3.051E-01  4.574E-76  r  4.6
  181  4.430E+11  6.424E+01  2.101E-05  3.455E+31  1.025E+04  1.347E+00  9.810E-09  3.039E-01  6.635E-76  r  4.6
  182  4.425E+11  6.586E+01  2.158E-05  3.455E+31  1.032E+04  1.389E+00  1.005E-08  3.027E-01  9.600E-76  r  4.6
  183  4.419E+11  6.752E+01  2.216E-05  3.455E+31  1.039E+04  1.432E+00  1.029E-08  3.016E-01  1.386E-75  r  4.6
  184  4.414E+11  6.922E+01  2.276E-05  3.455E+31  1.046E+04  1.477E+00  1.054E-08  3.004E-01  1.996E-75  r  4.6
  185  4.409E+11  7.095E+01  2.337E-05  3.455E+31  1.053E+04  1.523E+00  1.080E-08  2.993E-01  2.868E-75  r  4.6
  186  4.403E+11  7.271E+01  2.399E-05  3.455E+31  1.060E+04  1.570E+00  1.106E-08  2.982E-01  4.111E-75  r  4.6
  187  4.398E+11  7.451E+01  2.463E-05  3.455E+31  1.067E+04  1.618E+00  1.132E-08  2.970E-01  5.881E-75  r  4.6
  188  4.392E+11  7.634E+01  2.528E-05  3.455E+31  1.074E+04  1.667E+00  1.159E-08  2.959E-01  8.393E-75  r  4.6
  189  4.387E+11  7.821E+01  2.594E-05  3.455E+31  1.081E+04  1.718E+00  1.187E-08  2.948E-01  1.195E-74  r  4.6
  190  4.382E+11  8.012E+01  2.662E-05  3.455E+31  1.088E+04  1.770E+00  1.215E-08  2.937E-01  1.699E-74  r  4.6
  191  4.376E+11  8.207E+01  2.731E-05  3.455E+31  1.096E+04  1.823E+00  1.243E-08  2.927E-01  2.409E-74  r  4.6
  192  4.371E+11  8.405E+01  2.801E-05  3.455E+31  1.103E+04  1.878E+00  1.272E-08  2.916E-01  3.409E-74  r  4.6
