                                             A ZAMS Stellar Model
                                             --------------------

                                             M    =     2.06300 solar
                                             L    =    25.40000 solar
                                             R    =     1.70226 solar
                                             Teff =  9940.00000 K
                                             X    =     0.70000
                                             Y    =     0.29200
                                             Z    =     0.00800



 zone      r         tau     1-M_r/Ms      L_r         T          P         rho        kap        eps    dlnPdlnT
  173  9.803E+08  3.357E+07  2.316E-04  9.751E+27  7.608E+05  1.981E+10  1.936E+00  3.965E-01  2.331E-17  r  4.6
  174  9.791E+08  3.449E+07  2.384E-04  9.751E+27  7.663E+05  2.047E+10  1.987E+00  3.949E-01  2.602E-17  r  4.6
  175  9.779E+08  3.543E+07  2.454E-04  9.751E+27  7.718E+05  2.115E+10  2.038E+00  3.934E-01  2.904E-17  r  4.6
  176  9.767E+08  3.639E+07  2.526E-04  9.751E+27  7.774E+05  2.186E+10  2.091E+00  3.918E-01  3.238E-17  r  4.5
  177  9.756E+08  3.737E+07  2.598E-04  9.751E+27  7.830E+05  2.258E+10  2.145E+00  3.903E-01  3.607E-17  r  4.5
  178  9.744E+08  3.837E+07  2.673E-04  9.751E+27  7.886E+05  2.332E+10  2.199E+00  3.888E-01  4.016E-17  r  4.5
  179  9.732E+08  3.940E+07  2.750E-04  9.751E+27  7.942E+05  2.408E+10  2.255E+00  3.873E-01  4.468E-17  r  4.5
  180  9.720E+08  4.044E+07  2.828E-04  9.751E+27  7.998E+05  2.487E+10  2.313E+00  3.858E-01  4.968E-17  r  4.5
  181  9.708E+08  4.151E+07  2.908E-04  9.751E+27  8.054E+05  2.567E+10  2.371E+00  3.844E-01  5.520E-17  r  4.5
  182  9.696E+08  4.260E+07  2.989E-04  9.751E+27  8.111E+05  2.650E+10  2.430E+00  3.829E-01  6.129E-17  r  4.5
  183  9.685E+08  4.371E+07  3.073E-04  9.751E+27  8.167E+05  2.735E+10  2.491E+00  3.815E-01  6.800E-17  r  4.5
  184  9.673E+08  4.485E+07  3.158E-04  9.751E+27  8.224E+05  2.823E+10  2.553E+00  3.801E-01  7.541E-17  r  4.5
  185  9.661E+08  4.601E+07  3.246E-04  9.751E+27  8.281E+05  2.913E+10  2.616E+00  3.786E-01  8.356E-17  r  4.5
  186  9.649E+08  4.720E+07  3.335E-04  9.751E+27  8.338E+05  3.005E+10  2.681E+00  3.772E-01  9.254E-17  r  4.5
